#MLRT	#	0.8712	#MLRT
-	,	0.8444	-
She	O	0.9882	She
wants	V	0.9897	wants
the	D	0.9792	the
D	N	0.4325	D
Again	R	0.9621	Again
huh	!	0.9930	huh
lol	!	0.9995	lol
			
I'm	L	0.9907	I'm
at	P	0.9712	at
Sultanahmet	!	0.2992	Sultanahmet
Camii	^	0.7658	Camii
(	,	0.9082	(
Blue	A	0.6308	Blue
Mosque	N	0.9230	Mosque
)	,	0.9412	)
w/	P	0.4039	w/
@aajeeeeee	@	0.9980	@aajeeeeee
http://t.co/irlMOrBPmw	U	0.9900	http://t.co/irlMOrBPmw
			
Boroko	!	0.3584	Boroko
haboyo	!	0.6258	haboyo
and	&	0.9981	and
there's	L	0.7367	there's
so	R	0.5317	so
much	A	0.5576	much
trash	N	0.9147	trash
I'm	L	0.9907	I'm
thinking	V	0.9893	thinking
about	P	0.8950	about
,	,	0.9918	,
I	O	0.9937	I
can't	V	0.9853	can't
study	N	0.9395	study
.	,	0.9927	.
Wena	!	0.6367	Wena
?	,	0.9909	?
RT	~	0.7475	RT
@glo_riah	@	0.9990	@glo_riah
:	,	0.7421	:
Ha	!	0.9903	Ha
o	!	0.7684	o
robale	!	0.4098	robale
??	,	0.9829	??
KayGeO	!	0.4783	KayGeO
			
late	A	0.8833	late
night	N	0.6493	night
crusing	V	0.6307	crusing
with	P	0.9671	with
big	A	0.7283	big
bro	N	0.7862	bro
bok	!	0.4501	bok
and	&	0.9981	and
daedae	^	0.7609	daedae
			
#Windows	#	0.9361	#Windows
8	$	0.9739	8
Videos	N	0.9859	Videos
~	G	0.4906	~
Windows	^	0.5783	Windows
8	$	0.9739	8
,	,	0.9918	,
Spotify	^	0.8436	Spotify
,	,	0.9918	,
Hulu	^	0.5414	Hulu
Plus	L	0.1768	Plus
and	&	0.9981	and
Apple	^	0.9202	Apple
NEWS	N	0.8830	NEWS
!	,	0.9924	!
#AskLana	#	0.9385	#AskLana
#Education	#	0.8065	#Education
#increaseyoutube	#	0.8827	#increaseyoutube
http://t.co/H3hmOZMX35	U	0.9940	http://t.co/H3hmOZMX35
			
Jst	R	0.9098	Jst
read	V	0.8720	read
a	D	0.8948	a
tweet	V	0.5818	tweet
and	&	0.9981	and
it	O	0.9694	it
made	V	0.9295	made
me	O	0.9918	me
say	V	0.8550	say
ew	!	0.9840	ew
			
RT	~	0.7475	RT
@__ImStillBoss	@	0.9990	@__ImStillBoss
:	,	0.7421	:
Love	N	0.6118	Love
dont	V	0.9006	dont
mean	V	0.6798	mean
a	D	0.8948	a
thing	N	0.9739	thing
if	P	0.9711	if
you	O	0.9627	you
arent	V	0.5357	arent
loyal	A	0.9661	loyal
.	,	0.9927	.
			
I	O	0.9937	I
need	V	0.8664	need
some	D	0.7045	some
rest	N	0.8844	rest
lol	!	0.9995	lol
ive	L	0.9359	ive
been	V	0.9227	been
on	P	0.8343	on
my	D	0.8420	my
shit	N	0.6894	shit
the	D	0.9792	the
last	A	0.8954	last
couple	N	0.7781	couple
of	P	0.8953	of
days	N	0.9144	days
.	,	0.9927	.
			
RT	~	0.7475	RT
@info_arsenal	@	0.9990	@info_arsenal
:	,	0.7421	:
Arsenal	^	0.7664	Arsenal
and	&	0.9981	and
Liverpool	^	0.9123	Liverpool
target	N	0.9221	target
Antoine	^	0.9930	Antoine
Griezmann	^	0.4289	Griezmann
is	V	0.9892	is
now	R	0.9613	now
wanted	V	0.9423	wanted
by	P	0.9649	by
Juventus	^	0.9826	Juventus
			
@BassCampFest	@	0.9990	@BassCampFest
congrats	!	0.9468	congrats
@Casy_21	@	0.9987	@Casy_21
&	&	0.9901	&
omg	!	0.9978	omg
!!!	,	0.9690	!!!
thank	V	0.6008	thank
u	O	0.9843	u
thank	V	0.6008	thank
u	O	0.9843	u
!!!!	,	0.9629	!!!!
			
RT	~	0.7475	RT
@Luis34G	@	0.9981	@Luis34G
:	,	0.7421	:
Masso	^	0.7286	Masso
wants	V	0.9897	wants
the	D	0.9792	the
D	N	0.4325	D
@JohnMasso77	@	0.9989	@JohnMasso77
			
RT	~	0.7475	RT
@thetommocraic	@	0.9990	@thetommocraic
:	,	0.7421	:
whos	L	0.8300	whos
higher	A	0.9185	higher
,	,	0.9918	,
zayn's	L	0.7651	zayn's
high	!	0.5588	high
notes	N	0.9582	notes
or	&	0.9822	or
zayn	^	0.9227	zayn
himself	O	0.8273	himself
			
Now	R	0.9764	Now
playing	V	0.9921	playing
Dimension	N	0.9724	Dimension
X	E	0.6683	X
-	,	0.8444	-
In	P	0.8841	In
The	D	0.9468	The
Mix	N	0.6180	Mix
(	,	0.9082	(
May	V	0.3712	May
2014	$	0.9070	2014
C-A	^	0.6298	C-A
)	,	0.9412	)
on	P	0.8343	on
95.8	$	0.9498	95.8
Larissa	^	0.9540	Larissa
DeeJay	^	0.7974	DeeJay
			
RT	~	0.7475	RT
@LivEchoEFC	@	0.9990	@LivEchoEFC
:	,	0.7421	:
Live	V	0.5448	Live
:	,	0.7421	:
Everton	^	0.9473	Everton
FC	^	0.5979	FC
news	N	0.8769	news
and	&	0.9981	and
views	N	0.9591	views
,	,	0.9918	,
May	V	0.3712	May
26	$	0.9523	26
2014	$	0.9070	2014
http://t.co/epLcSCCXzm	U	0.9900	http://t.co/epLcSCCXzm
			
Me	O	0.9899	Me
regalan	!	0.3227	regalan
RT	~	0.7475	RT
p	G	0.2927	p
'	,	0.9122	'
mi	!	0.3412	mi
evento	!	0.6032	evento
xfa	!	0.3716	xfa
?	,	0.9909	?
@Paulo_Bennetts	@	0.9990	@Paulo_Bennetts
@PABLOGARIBAY	@	0.9987	@PABLOGARIBAY
@eduardogaribayg	@	0.9990	@eduardogaribayg
@mon_gaitan	@	0.9990	@mon_gaitan
@yadteran	@	0.9989	@yadteran
@anapaomijares	@	0.9990	@anapaomijares
http://t.co/C3qS0TKadb	U	0.9940	http://t.co/C3qS0TKadb
			
@ScoutingMusic	@	0.9990	@ScoutingMusic
Lil	A	0.4985	Lil
Bamm	!	0.9883	Bamm
Ft	V	0.6398	Ft
Pooh	N	0.4084	Pooh
Da	D	0.7420	Da
Money	N	0.9282	Money
Kid	^	0.5062	Kid
-Mob	N	0.8980	-Mob
Shyt-	N	0.6405	Shyt-
The	D	0.9468	The
official	A	0.5001	official
Music	N	0.9576	Music
Video	N	0.9601	Video
#Retweet	#	0.6937	#Retweet
& LeaveAYoutubeComment	& ^	0.9940 0.3673	&LeaveAYoutubeComment
http://t.co/QFIExF4BRo	U	0.9940	http://t.co/QFIExF4BRo
			
Im	L	0.9787	Im
Feeling	V	0.9898	Feeling
Some	D	0.7192	Some
Type	N	0.7929	Type
Of	P	0.8772	Of
Way	N	0.5820	Way
I	O	0.9937	I
Really	R	0.9946	Really
Dont	V	0.9301	Dont
Know	V	0.9546	Know
Why	R	0.8930	Why
But	&	0.9845	But
I	O	0.9937	I
Just	R	0.9985	Just
Do	V	0.9772	Do
			
Geordie	^	0.8882	Geordie
planking	V	0.9470	planking
creep	V	0.6214	creep
with	P	0.9671	with
magaluf	^	0.9799	magaluf
!	,	0.9924	!
:	,	0.7421	:
EptV	!	0.2553	EptV
			
@xistylesgucci	@	0.9990	@xistylesgucci
I	O	0.9937	I
feel	V	0.9161	feel
stupid	A	0.9906	stupid
coz	!	0.4485	coz
im	L	0.9789	im
Arabic	^	0.8357	Arabic
and	&	0.9981	and
dont	V	0.9006	dont
know	V	0.9285	know
why	R	0.8527	why
people	N	0.9913	people
do	V	0.9687	do
that	O	0.7135	that
lol	!	0.9995	lol
:/	E	0.9663	:/
			
@byxns	@	0.9990	@byxns
@EXOKKKAI	@	0.9975	@EXOKKKAI
@kyugngsoo	@	0.9990	@kyugngsoo
nah	!	0.9921	nah
you	O	0.9627	you
too	R	0.9370	too
!	,	0.9924	!
Dont	V	0.9301	Dont
lovey	N	0.5083	lovey
dovey	N	0.6180	dovey
on	P	0.8343	on
the	D	0.9792	the
stage	N	0.8796	stage
with	P	0.9671	with
Chan	^	0.9506	Chan
hyung	!	0.8537	hyung
!	,	0.9924	!
Fighting	V	0.9352	Fighting
!	,	0.9924	!
			
RT	~	0.7475	RT
@_Aniket	@	0.9987	@_Aniket
:	,	0.7421	:
MMS	N	0.5949	MMS
is	V	0.9892	is
looking	V	0.9528	looking
very	R	0.9132	very
happy	A	0.9389	happy
,	,	0.9918	,
smiling	V	0.9941	smiling
and	&	0.9981	and
even	R	0.9851	even
walking	V	0.9567	walking
fast	A	0.7309	fast
!	,	0.9924	!
wah	!	0.9631	wah
!!	,	0.9305	!!
			
@Furtive_Glances	@	0.9990	@Furtive_Glances
#MatrixMakesSense	#	0.9529	#MatrixMakesSense
A1	!	0.4669	A1
)	,	0.9412	)
International	N	0.4327	International
Matrix	N	0.7571	Matrix
sim	!	0.6014	sim
A2	^	0.3452	A2
)	,	0.9412	)
Upto	!	0.4351	Upto
2000	$	0.9774	2000
minutes	N	0.9315	minutes
A3	$	0.6829	A3
)	,	0.9412	)
Unlimited	A	0.9216	Unlimited
data	N	0.9406	data
access	N	0.9281	access
http://t.co/nIwbQQLM4t	U	0.9940	http://t.co/nIwbQQLM4t
..	,	0.9687	..
			
RT	~	0.7475	RT
@IFFAHAFG	@	0.9987	@IFFAHAFG
:	,	0.7421	:
RT	~	0.7475	RT
@ffyxx	@	0.9986	@ffyxx
:	,	0.7421	:
gue	!	0.4913	gue
males	N	0.9666	males
kenal	^	0.3355	kenal
sm	G	0.6259	sm
lo	!	0.7412	lo
			
GLOBE	N	0.7285	GLOBE
USERS	N	0.9499	USERS
?	,	0.9909	?
dm	N	0.3768	dm
me	O	0.9918	me
your	D	0.5467	your
number	N	0.9680	number
txt	N	0.4304	txt
txt	N	0.4304	txt
tayo	!	0.5784	tayo
?	,	0.9909	?
Hahahaha	!	0.9985	Hahahaha
			
Hahaha	!	0.9985	Hahaha
I	O	0.9937	I
just	R	0.9975	just
busted	A	0.5315	busted
out	T	0.6015	out
laughin	V	0.6776	laughin
"	,	0.9803	"
@Speak2muchTruth	@	0.9989	@Speak2muchTruth
:	,	0.7421	:
TIP	N	0.9680	TIP
shoulda	!	0.2228	shoulda
ripped	V	0.9516	ripped
Tiny's	Z	0.3871	Tiny's
necklace	N	0.8754	necklace
off	T	0.4522	off
like	P	0.7012	like
he	O	0.9777	he
did	V	0.9560	did
New	A	0.9490	New
New	A	0.9490	New
#YouGonLearnTahday	#	0.9006	#YouGonLearnTahday
"	,	0.9803	"
			
@NiggeerRich	@	0.9990	@NiggeerRich
are	V	0.9783	are
u	O	0.9843	u
home	N	0.8327	home
niggah	N	0.5797	niggah
?	,	0.9909	?
			
what	O	0.9490	what
the	D	0.9792	the
actual	A	0.8334	actual
__	G	0.2728	__
is	V	0.9892	is
the	D	0.9792	the
new	A	0.9552	new
profile	N	0.9755	profile
.	,	0.9927	.
hashtag	N	0.5386	hashtag
DONE	V	0.8463	DONE
WITH	P	0.9665	WITH
UR	L	0.5145	UR
ISH	!	0.4940	ISH
TWITTER	^	0.9700	TWITTER
			
Im	L	0.9787	Im
such	A	0.5315	such
a	D	0.8948	a
chill	V	0.4239	chill
person	N	0.8845	person
But	&	0.9845	But
I	O	0.9937	I
b	V	0.3261	b
doin	V	0.9669	doin
some	D	0.7045	some
wild	A	0.9496	wild
shit	N	0.6894	shit
sometimes	R	0.9272	sometimes
			
LA	^	0.9323	LA
DECIMA	!	0.4231	DECIMA
.!!	,	0.9435	.!!
HALA	!	0.7791	HALA
MADRIIIIDDD	N	0.3324	MADRIIIIDDD
..!!!	,	0.9703	..!!!
GOOD	A	0.9441	GOOD
JOB	N	0.9068	JOB
,	,	0.9918	,
:	,	0.7421	:
*	,	0.9379	*
			
RT	~	0.7475	RT
@EvaLongoria	@	0.9986	@EvaLongoria
:	,	0.7421	:
"	,	0.9803	"
@celinecullen	@	0.9990	@celinecullen
:	,	0.7421	:
@EvaLongoria	@	0.9986	@EvaLongoria
is	V	0.9892	is
stunning	A	0.7983	stunning
in	P	0.8576	in
this	O	0.5028	this
http://t.co/OWRNhHkhfN	U	0.9900	http://t.co/OWRNhHkhfN
"	,	0.9803	"
thx	N	0.5650	thx
Celine	^	0.9782	Celine
!	,	0.9924	!
Happy	A	0.9011	Happy
Friday	^	0.8713	Friday
!	,	0.9924	!
			
#Press	#	0.8436	#Press
Nakheel	^	0.4436	Nakheel
awards	N	0.8368	awards
AED	G	0.1927	AED
1.2	$	0.9610	1.2
bn	V	0.3637	bn
construction	N	0.9669	construction
contract	N	0.9822	contract
for	P	0.9910	for
Nakheel	^	0.4436	Nakheel
Mall	N	0.7949	Mall
:	,	0.7421	:
Property	N	0.9567	Property
developer	N	0.9878	developer
Nakheel	^	0.4436	Nakheel
said	V	0.9555	said
on	P	0.8343	on
Tue	^	0.9439	Tue
...	~	0.6291	...
http://t.co/a3wM4rxs3I	U	0.9940	http://t.co/a3wM4rxs3I
			
